Subject,Relation,Object,URL,Strategy
Air,co-occurs_with,NASA,https://history.nasa.gov/SP-4225/documentation/mars/mars.htm,B_cooccurrence
Air,co-occurs_with,NASA,https://history.nasa.gov/SP-4225/documentation/mars/mars.htm,B_cooccurrence
Air,co-occurs_with,NASA,https://history.nasa.gov/SP-4225/documentation/mars/mars.htm,B_cooccurrence
Air,co-occurs_with,NASA,https://history.nasa.gov/SP-4225/documentation/mars/mars.htm,B_cooccurrence
NASA,co-occurs_with,NASA,https://history.nasa.gov/SP-4225/documentation/mars/mars.htm,B_cooccurrence
NASA,co-occurs_with,NASA,https://history.nasa.gov/SP-4225/documentation/mars/mars.htm,B_cooccurrence
NASA,co-occurs_with,NASA,https://history.nasa.gov/SP-4225/documentation/mars/mars.htm,B_cooccurrence
NASA,co-occurs_with,NASA,https://history.nasa.gov/SP-4225/documentation/mars/mars.htm,B_cooccurrence
NASA,co-occurs_with,NASA,https://history.nasa.gov/SP-4225/documentation/mars/mars.htm,B_cooccurrence
NASA,co-occurs_with,NASA,https://history.nasa.gov/SP-4225/documentation/mars/mars.htm,B_cooccurrence
NASA,co-occurs_with,NASA,https://history.nasa.gov/SP-4225/documentation/mars/mars.htm,B_cooccurrence
NASA,co-occurs_with,NASA,https://history.nasa.gov/SP-4225/documentation/mars/mars.htm,B_cooccurrence
NASA,co-occurs_with,NASA+,https://history.nasa.gov/SP-4225/documentation/mars/mars.htm,B_cooccurrence
NASA,co-occurs_with,NASA,https://history.nasa.gov/SP-4225/documentation/mars/mars.htm,B_cooccurrence
NASA,co-occurs_with,NASA,https://history.nasa.gov/SP-4225/documentation/mars/mars.htm,B_cooccurrence
NASA,co-occurs_with,NASA,https://history.nasa.gov/SP-4225/documentation/mars/mars.htm,B_cooccurrence
NASA,co-occurs_with,NASA,https://history.nasa.gov/SP-4225/documentation/mars/mars.htm,B_cooccurrence
NASA,co-occurs_with,NASA,https://history.nasa.gov/SP-4225/documentation/mars/mars.htm,B_cooccurrence
NASA,co-occurs_with,NASA+,https://history.nasa.gov/SP-4225/documentation/mars/mars.htm,B_cooccurrence
NASA,co-occurs_with,NASA,https://history.nasa.gov/SP-4225/documentation/mars/mars.htm,B_cooccurrence
NASA,co-occurs_with,NASA,https://history.nasa.gov/SP-4225/documentation/mars/mars.htm,B_cooccurrence
NASA,co-occurs_with,NASA,https://history.nasa.gov/SP-4225/documentation/mars/mars.htm,B_cooccurrence
NASA,co-occurs_with,NASA,https://history.nasa.gov/SP-4225/documentation/mars/mars.htm,B_cooccurrence
NASA,co-occurs_with,NASA+,https://history.nasa.gov/SP-4225/documentation/mars/mars.htm,B_cooccurrence
NASA,co-occurs_with,NASA,https://history.nasa.gov/SP-4225/documentation/mars/mars.htm,B_cooccurrence
NASA,co-occurs_with,NASA,https://history.nasa.gov/SP-4225/documentation/mars/mars.htm,B_cooccurrence
NASA,co-occurs_with,NASA,https://history.nasa.gov/SP-4225/documentation/mars/mars.htm,B_cooccurrence
